sector_hours,utilization,capacity,load_factor
EDGGBALU_1000_1100_E,0,40,0.0
EDGGBALU_1100_1200_E,0,40,0.0
EDGGBALU_1200_1300_E,0,40,0.0
EDGGBALU_2000_2030_E,0,20,0.0
EDGGLBU_0430_0500_E,0,20,0.0
EDGGLBU_0700_0800_E,0,40,0.0
EDGGLBU_0800_0900_E,0,40,0.0
EDGGLBU_0900_1000_E,0,40,0.0
EDGGLBU_1300_1400_E,0,40,0.0
EDGGLBU_1400_1500_E,0,40,0.0
EDGGLBU_1500_1530_E,0,20,0.0
EDGGLBU_1530_1600_E,0,20,0.0
EDGGLBU_1600_1700_E,0,40,0.0
EDGGLBU_1700_1800_E,0,40,0.0
EDGGLBU_1800_1900_E,0,40,0.0
EDGGLBU_1900_2000_E,0,40,0.0
EDGGMAN_0500_0600_E,0,36,0.0
EDGGMAN_0600_0700_E,0,36,0.0
EDGGMAN_0700_0800_E,0,36,0.0
EDGGMAN_0800_0900_E,0,36,0.0
EDGGMAN_0900_1000_E,0,36,0.0
EDGGMAN_1000_1100_E,0,36,0.0
EDGGMAN_1100_1200_E,0,36,0.0
EDGGMAN_1200_1300_E,0,36,0.0
EDGGMAN_1530_1600_E,0,18,0.0
EDGGMAN_1600_1700_E,0,36,0.0
EDGGMANK_0400_0430_E,0,17,0.0
EDGGMANK_0430_0500_E,0,17,0.0
EDGGMANK_1300_1400_E,0,34,0.0
EDGGMANK_1400_1500_E,0,34,0.0
EDGGMANK_1500_1530_E,0,17,0.0
EDGGMANK_1700_1800_E,0,34,0.0
EDGGMANK_1800_1900_E,0,34,0.0
EDGGMANK_1900_2000_E,0,34,0.0
EDGGMANK_2000_2030_E,0,17,0.0
EDGGNLH_0500_0600_E,0,42,0.0
EDGGNLH_0600_0700_E,0,42,0.0
EDGGNLH_0700_0800_E,0,42,0.0
EDGGNLH_0800_0900_E,0,42,0.0
EDGGNLH_0900_1000_E,0,42,0.0
EDGGNLH_1000_1100_E,0,42,0.0
EDGGNLH_1100_1200_E,0,42,0.0
EDGGNLH_1200_1300_E,0,42,0.0
EDGGNLH_1530_1600_E,0,21,0.0
EDGGNLH_1600_1700_E,0,42,0.0
EDGGGED_0430_0500_E,0,18,0.0
EDGGGED_0500_0600_E,0,36,0.0
EDGGGED_1000_1100_E,0,36,0.0
EDGGGED_1100_1200_E,0,36,0.0
EDGGGED_1200_1300_E,0,36,0.0
EDGGGED_1300_1400_E,0,36,0.0
EDGGGED_1400_1500_E,0,36,0.0
EDGGGED_1500_1600_E,0,36,0.0
EDGGGED_1600_1630_E,0,18,0.0
EDGGGED_1630_1700_E,0,18,0.0
EDGGGED_1700_1800_E,0,36,0.0
EDGGGED_1800_1830_E,0,18,0.0
EDGGGEHE_0600_0700_E,0,34,0.0
EDGGGEHE_0700_0800_E,0,34,0.0
EDGGGEHE_0800_0900_E,0,34,0.0
EDGGGEHE_0900_1000_E,0,34,0.0
EDGGGEHE_1830_1900_E,0,17,0.0
EDGGGEHE_1900_2000_E,0,34,0.0
EDGGGEHE_2000_2030_E,0,17,0.0
EDGGGHG_0400_0430_E,0,17,0.0
EDGGGHG_2030_2100_E,0,17,0.0
EDGGGIN_0430_0500_E,0,19,0.0
EDGGGIN_0500_0600_E,0,38,0.0
EDGGGIN_0600_0700_E,0,38,0.0
EDGGGIN_0700_0800_E,0,38,0.0
EDGGGIN_0800_0900_E,0,38,0.0
EDGGGIN_0900_1000_E,0,38,0.0
EDGGGIN_1000_1100_E,0,38,0.0
EDGGGIN_1100_1200_E,0,38,0.0
EDGGGIN_1200_1300_E,0,38,0.0
EDGGGIN_1300_1400_E,0,38,0.0
EDGGGIN_1400_1500_E,0,38,0.0
EDGGGIN_1500_1600_E,0,38,0.0
EDGGGIN_1600_1630_E,0,19,0.0
EDGGGIN_1630_1700_E,0,19,0.0
EDGGGIN_1700_1800_E,0,38,0.0
EDGGGIN_1800_1830_E,0,19,0.0
EDGGGIN_1830_1900_E,0,19,0.0
EDGGGIN_1900_2000_E,0,38,0.0
EDGGGIN_2000_2030_E,0,19,0.0
EDGGHEF_0430_0500_E,0,18,0.0
EDGGHEF_0500_0600_E,0,36,0.0
EDGGHEF_1000_1100_E,0,36,0.0
EDGGHEF_1100_1200_E,0,36,0.0
EDGGHEF_1200_1300_E,0,36,0.0
EDGGHEF_1300_1400_E,0,36,0.0
EDGGHEF_1400_1500_E,0,36,0.0
EDGGHEF_1500_1600_E,0,36,0.0
EDGGHEF_1600_1630_E,0,18,0.0
